time,PriceUSD,raw_signal,adjusted_signal,dynamic_multiplier,daily_allocation_usd,daily_btc_purchase,mvrv_zone,vol_regime
2017-05-29,2284.71579748685,-0.12443871881542437,-0.08710710317079705,0.7700334607859602,77.00334607859602,0.033703686980804545,Neutral,High
2017-05-30,2167.26447790766,-0.449551364545977,-0.3146859551821839,0.3890459318703975,38.90459318703975,0.017951013170574997,Neutral,High
2017-05-31,2299.43261025716,0.14845541355194647,0.10391878948636252,1.3658218951981627,136.58218951981627,0.05939821367695634,Neutral,High
2017-06-01,2399.88763194039,0.21649963576599923,0.2273246175542992,1.9777777237865761,197.7777723786576,0.08241126365518524,Value,High
2017-06-02,2479.4238943308,0.4800614628409136,0.5040645359829592,3.0,300.0,0.12099584935272652,Value,High
2017-06-03,2549.55195151958,-0.6457894934742395,-0.45205264543196766,0.2576487807804117,25.76487807804117,0.010105649372112158,Neutral,High
2017-06-04,2524.99383354763,-0.5587295592871353,-0.3911106915009947,0.30933449654054224,30.933449654054222,0.01225090106877313,Neutral,High
2017-06-05,2685.31891671537,0.4036269383184781,0.423808285234402,3.0,300.0,0.11171857395878854,Value,High
2017-06-06,2871.34167735243,0.26592755959546177,0.27922393757523484,2.310980313676578,231.0980313676578,0.08048433705763144,Value,High
2017-06-07,2706.76000885447,0.35428829571101034,0.37200271049656086,3.0,300.0,0.11083361621223421,Value,High
2017-06-08,2802.56354681473,0.25963209191070513,0.27261369650624034,2.2656033191097333,226.56033191097333,0.08084039063751892,Value,High
2017-06-09,2804.87226691993,-0.13158184634874623,-0.09210729244412236,0.7585687253835185,75.85687253835185,0.027044679871162672,Neutral,High
2017-06-10,2916.3278597896,0.03616004461104018,0.025312031227728123,1.0788936238363915,107.88936238363915,0.036994935950522,Neutral,High
2017-06-11,2974.21455920514,0.1547315279897155,0.16246810438920128,1.6280847324210068,162.8084732421007,0.05473998933204446,Value,High
2017-06-12,2665.43326995909,-0.29137108033214765,-0.20395975623250334,0.5423307256565119,54.233072565651185,0.020346813096725386,Neutral,High
2017-06-13,2707.13782402104,0.04514332516994997,0.031600327618964974,1.0994400259384678,109.94400259384678,0.04061263583194362,Neutral,High
2017-06-14,2443.82445137347,0.44525164549701873,0.46751422777186963,3.0,300.0,0.12275840837560777,Value,High
2017-06-15,2409.886764173,-0.48038260951187906,-0.33626782665831534,0.3646550356970048,36.46550356970048,0.015131625316102492,Neutral,High
2017-06-16,2476.35909538282,-0.26092704472209455,-0.18264893130546617,0.5781356241845691,57.81356241845691,0.02334619503538501,Neutral,High
2017-06-17,2652.75536335476,-0.21338028782263477,-0.14936620147584434,0.6388416883071788,63.88416883071788,0.02408219382503779,Neutral,High
2017-06-18,2508.21420742256,-0.28259609825002635,-0.19781726877501843,0.5524171529060693,55.24171529060693,0.02202432117923983,Neutral,High
2017-06-19,2589.64221338399,-0.3449711355659552,-0.24147979489616864,0.4845961648477462,48.45961648477462,0.018712861658773505,Neutral,High
2017-06-20,2733.22655628288,-0.5815598993477896,-0.4070919295434527,0.29485375579528805,29.485375579528807,0.010787753950271938,Neutral,High
2017-06-21,2639.26131420222,0.010687561032183074,0.0074812927225281515,1.0226976368884515,102.26976368884515,0.038749389133435855,Neutral,High
2017-06-22,2686.64751431911,0.22927334153328566,0.2407370086099499,2.0589806409286715,205.89806409286714,0.0766375428840165,Value,High
2017-06-23,2685.87047101111,-0.030824585036276865,-0.021577209525393805,0.9373189792550917,93.73189792550917,0.034898145289271265,Neutral,High
2017-06-24,2562.18914874342,0.12325235464284365,0.08627664824999055,1.295413494230441,129.5413494230441,0.050558854909902085,Neutral,High
